date,order_id,product,category,quantity,price,region,customer_type,payment_method,total_sale,discount_percent,shipping_cost
2023-02-08,ORD000531,Laptop,Electronics,2,699,North,VIP,PayPal,1398,0.0,10
2023-02-10,ORD000086,Camera,Accessories,5,1299,North,New,PayPal,6495,0.0,0
2023-02-10,ORD000105,Laptop,Electronics,4,1299,North,New,PayPal,5196,0.0,5
2023-02-10,ORD000643,Headphones,Wearables,8,699,West,VIP,Credit Card,5592,10.0,5
2023-02-11,ORD000533,Headphones,Electronics,3,999,East,Returning,Debit Card,2997,0.0,5
2023-02-12,ORD000463,Camera,Wearables,7,899,East,New,Debit Card,6293,10.0,10
2023-02-15,ORD000313,Laptop,Electronics,5,1299,North,New,Credit Card,6495,0.0,999
2023-02-16,ORD000425,Phone,Electronics,4,899,South,New,Credit Card,3596,0.0,15
2023-02-16,ORD000617,Phone,Electronics,4,899,North,New,Debit Card,3596,20.0,5
2023-02-16,ORD000384,Camera,Electronics,6,899,East,VIP,Credit Card,5394,5.0,5
2023-02-17,ORD000110,Laptop,Electronics,5,299,West,VIP,Credit Card,1495,15.0,15
2023-02-18,ORD000306,Headphones,Accessories,8,999,East,Returning,Debit Card,7992,15.0,0
2023-02-20,ORD000363,Laptop,Accessories,9,1299,East,Returning,Debit Card,11691,0.0,10
2023-02-22,ORD000081,Headphones,Wearables,4,699,West,VIP,Credit Card,2796,,10
2023-02-22,ORD000377,Headphones,Wearables,4,1299,North,Returning,Bank Transfer,5196,0.0,10
2023-02-22,ORD000199,Laptop,Wearables,4,899,West,VIP,Debit Card,3596,15.0,5
2023-02-23,ORD000256,Camera,Electronics,7,1299,North,New,Debit Card,9093,0.0,999
2023-02-23,ORD000373,Tablet,Wearables,2,999,North,VIP,Credit Card,1998,0.0,15
2023-02-27,ORD000402,Headphones,Electronics,3,299,South,New,Debit Card,897,0.0,10
2023-02-27,ORD000395,Phone,Accessories,2,299,South,Returning,Debit Card,598,5.0,10
2023-02-27,ORD000588,Laptop,Accessories,7,999,North,Returning,PayPal,6993,0.0,10
2023-02-27,ORD000604,Tablet,Electronics,5,149,North,Returning,Debit Card,745,,5
2023-02-28,ORD000033,Camera,Accessories,1,299,North,Returning,Credit Card,299,0.0,10
2023-03-03,ORD000503,Laptop,Accessories,9,149,West,New,PayPal,1341,0.0,10
2023-03-04,ORD000095,Tablet,Electronics,7,899,West,VIP,Bank Transfer,6293,,10
2023-03-06,ORD000089,Camera,Wearables,8,699,North,VIP,Debit Card,5592,0.0,5
2023-03-10,ORD000424,Camera,Electronics,7,699,South,New,PayPal,4893,0.0,5
2023-03-10,ORD000521,Laptop,Accessories,5,1299,North,Returning,Credit Card,6495,,999
2023-03-11,ORD000573,Laptop,Accessories,5,149,West,VIP,Bank Transfer,745,0.0,5
2023-03-13,ORD000005,Laptop,Electronics,7,149,West,Returning,Credit Card,1043,0.0,5
2023-03-15,ORD000545,Phone,Wearables,2,699,North,New,Credit Card,1398,0.0,5
2023-03-16,ORD000483,Phone,Accessories,1,899,South,Returning,Debit Card,899,,5
2023-03-17,ORD000513,Watch,Wearables,5,899,West,Returning,Debit Card,4495,0.0,10
2023-03-17,ORD000417,Watch,Accessories,1,899,East,New,PayPal,899,10.0,5
2023-03-21,ORD000608,Headphones,Wearables,8,299,North,VIP,Credit Card,2392,5.0,999
2023-03-22,ORD000188,Tablet,Accessories,1,299,East,Returning,Credit Card,299,0.0,999
2023-03-22,ORD000062,Phone,Accessories,5,699,West,VIP,Debit Card,3495,20.0,15
2023-03-27,ORD000421,Headphones,Electronics,8,299,West,VIP,Bank Transfer,2392,10.0,5
2023-03-27,ORD000142,Headphones,Wearables,5,999,South,Returning,Debit Card,4995,,15
2023-03-29,ORD000005,Laptop,Electronics,9,999,South,New,Bank Transfer,8991,,5
2023-03-31,ORD000638,Camera,Wearables,3,299,South,Returning,PayPal,897,15.0,999
2023-03-31,ORD000473,Laptop,Wearables,6,899,West,Returning,PayPal,5394,15.0,10
2023-04-01,ORD000579,Tablet,Accessories,6,899,South,New,PayPal,5394,0.0,10
2023-04-02,ORD000361,Laptop,Electronics,7,299,North,VIP,Bank Transfer,2093,5.0,5
2023-04-02,ORD000055,Headphones,,4,299,West,Returning,PayPal,1196,0.0,15
2023-04-04,ORD000426,Camera,Wearables,4,899,South,Returning,Bank Transfer,3596,5.0,0
2023-04-06,ORD000131,Laptop,Electronics,9,1299,West,Returning,PayPal,11691,0.0,10
2023-04-06,ORD000405,Watch,Electronics,2,999,North,New,Debit Card,1998,,0
2023-04-06,ORD000493,Tablet,Electronics,1,149,East,VIP,Bank Transfer,149,,15
2023-04-09,ORD000324,Camera,Electronics,8,1299,North,Returning,Debit Card,10392,0.0,10
2023-04-09,ORD000522,Laptop,Accessories,5,1299,South,VIP,Bank Transfer,6495,0.0,5
2023-04-09,ORD000114,Watch,Wearables,6,1299,West,Returning,Debit Card,7794,0.0,5
2023-04-09,ORD000491,Laptop,Accessories,8,1299,South,Returning,Bank Transfer,10392,15.0,5
2023-04-09,ORD000316,Tablet,Accessories,8,899,North,VIP,Debit Card,7192,5.0,0
2023-04-09,ORD000269,Laptop,Wearables,8,699,West,New,PayPal,5592,10.0,15
2023-04-09,ORD000250,Camera,Accessories,2,149,South,Returning,Debit Card,298,0.0,5
2023-04-10,ORD000005,Laptop,Electronics,2,1299,West,Returning,Credit Card,2598,15.0,0
2023-04-10,ORD000440,Watch,Accessories,7,999,East,New,Bank Transfer,6993,0.0,10
2023-04-13,ORD000001,Camera,Electronics,8,1299,South,VIP,PayPal,10392,15.0,10
2023-04-13,ORD000381,Tablet,Wearables,3,1299,East,New,Credit Card,3897,0.0,999
2023-04-14,ORD000263,Camera,Wearables,8,699,West,Returning,Bank Transfer,5592,0.0,10
2023-04-14,ORD000343,Headphones,Wearables,4,899,South,New,Debit Card,3596,10.0,5
2023-04-16,ORD000068,Tablet,Accessories,2,899,East,VIP,Credit Card,1798,10.0,15
2023-04-16,ORD000389,Tablet,Electronics,5,149,North,VIP,Bank Transfer,745,0.0,999
2023-04-17,ORD000004,Headphones,Electronics,2,999,East,New,Bank Transfer,1998,0.0,0
2023-04-19,ORD000532,Headphones,Accessories,2,699,East,VIP,PayPal,1398,5.0,5
2023-04-22,ORD000266,Camera,Electronics,4,1299,East,Returning,Credit Card,5196,10.0,10
2023-04-23,ORD000177,Watch,Accessories,6,299,North,VIP,PayPal,1794,,5
2023-04-23,ORD000189,Tablet,Electronics,4,699,South,New,Debit Card,2796,10.0,10
2023-04-23,ORD000185,Phone,Wearables,4,299,East,New,Credit Card,1196,5.0,10
2023-04-25,ORD000477,Headphones,Accessories,1,899,West,VIP,Credit Card,899,5.0,999
2023-04-26,ORD000325,Headphones,Electronics,7,899,North,New,Bank Transfer,6293,0.0,999
2023-04-27,ORD000602,Phone,Accessories,8,1299,East,New,Debit Card,10392,,5
2023-04-27,ORD000398,Phone,Accessories,7,1299,East,VIP,PayPal,9093,0.0,10
2023-04-28,ORD000407,Headphones,Electronics,8,999,South,New,Bank Transfer,7992,,15
2023-04-30,ORD000257,Phone,Electronics,8,299,North,VIP,Debit Card,2392,0.0,5
2023-04-30,ORD000393,Camera,Accessories,4,1299,West,VIP,Credit Card,5196,0.0,10
2023-05-02,ORD000636,Camera,Wearables,8,699,East,Returning,Bank Transfer,5592,,999
2023-05-02,ORD000008,Camera,Accessories,6,1299,South,New,Credit Card,7794,,0
2023-05-03,ORD000205,Camera,Wearables,7,149,East,VIP,PayPal,1043,,15
2023-05-04,ORD000215,Phone,Electronics,8,149,East,VIP,Debit Card,1192,5.0,5
2023-05-05,ORD000367,Camera,Electronics,2,999,North,New,Bank Transfer,1998,0.0,5
2023-05-06,ORD000582,Headphones,Accessories,2,299,West,VIP,Bank Transfer,598,0.0,15
2023-05-07,ORD000399,Laptop,Accessories,3,149,East,New,Bank Transfer,447,0.0,5
2023-05-08,ORD000331,Tablet,Electronics,4,299,West,New,Bank Transfer,1196,5.0,10
2023-05-09,ORD000092,Phone,Wearables,6,899,East,New,PayPal,5394,0.0,10
2023-05-10,ORD000198,Tablet,Electronics,4,699,East,Returning,Bank Transfer,2796,10.0,5
2023-05-11,ORD000017,Laptop,Accessories,6,299,West,Returning,Debit Card,1794,5.0,5
2023-05-11,ORD000253,Tablet,Accessories,7,1299,East,Returning,Debit Card,9093,10.0,5
2023-05-11,ORD000041,Headphones,Electronics,9,299,West,New,PayPal,2691,10.0,10
2023-05-12,ORD000572,Tablet,Accessories,5,699,West,VIP,Bank Transfer,3495,0.0,15
2023-05-13,ORD000538,Camera,Accessories,9,899,West,Returning,Bank Transfer,8091,0.0,15
2023-05-14,ORD000603,Phone,Electronics,1,149,West,VIP,Debit Card,149,0.0,15
2023-05-15,ORD000107,Headphones,Electronics,1,1299,South,VIP,Debit Card,1299,10.0,10
2023-05-15,ORD000279,Camera,Wearables,8,299,South,New,PayPal,2392,0.0,0
2023-05-19,ORD000096,Phone,Accessories,7,699,South,Returning,PayPal,4893,15.0,15
2023-05-23,ORD000360,Camera,Electronics,3,899,South,New,Credit Card,2697,0.0,15
2023-05-23,ORD000621,Phone,Accessories,1,699,West,New,Bank Transfer,699,15.0,10
2023-05-24,ORD000520,Headphones,Wearables,3,999,West,Returning,PayPal,2997,15.0,15
2023-05-24,ORD000237,Headphones,Wearables,5,999,West,New,PayPal,4995,0.0,10
2023-05-24,ORD000529,Camera,Electronics,9,899,East,VIP,Bank Transfer,8091,5.0,5
2023-05-24,ORD000212,Watch,Electronics,8,999,North,Returning,Bank Transfer,7992,5.0,999
2023-05-25,ORD000645,Headphones,Accessories,5,999,South,VIP,PayPal,4995,5.0,999
2023-05-27,ORD000224,Watch,Electronics,9,1299,South,VIP,Credit Card,11691,0.0,0
2023-05-28,ORD000225,Tablet,Electronics,2,1299,North,New,PayPal,2598,0.0,10
2023-05-29,ORD000607,Headphones,Accessories,4,149,North,New,Credit Card,596,10.0,10
2023-05-30,ORD000368,Headphones,Electronics,3,299,West,VIP,Bank Transfer,897,5.0,15
2023-05-31,ORD000528,Camera,Electronics,8,999,West,VIP,Debit Card,7992,0.0,5
2023-05-31,ORD000232,Phone,Wearables,1,699,West,Returning,PayPal,699,0.0,15
2023-06-01,ORD000255,Watch,Accessories,1,1299,West,New,PayPal,1299,,10
2023-06-02,ORD000270,Phone,Accessories,1,999,West,New,Credit Card,999,10.0,10
2023-06-03,ORD000418,Phone,Accessories,4,899,South,VIP,Bank Transfer,3596,0.0,10
2023-06-04,ORD000340,Watch,Accessories,9,999,South,Returning,Credit Card,8991,,999
2023-06-06,ORD000087,Watch,Accessories,1,299,West,Returning,Credit Card,299,0.0,5
2023-06-07,ORD000311,Laptop,Electronics,8,1299,West,VIP,Credit Card,10392,15.0,10
2023-06-09,ORD000140,Tablet,Wearables,1,699,East,Returning,PayPal,699,5.0,10
2023-06-09,ORD000452,Tablet,Electronics,2,899,North,Returning,Bank Transfer,1798,0.0,5
2023-06-09,ORD000247,Tablet,Wearables,3,699,North,New,Credit Card,2097,15.0,0
2023-06-10,ORD000273,Tablet,Electronics,7,999,West,New,PayPal,6993,,10
2023-06-10,ORD000026,Headphones,Electronics,8,149,East,New,PayPal,1192,10.0,0
2023-06-10,ORD000328,Phone,Electronics,6,999,North,New,Bank Transfer,5994,15.0,10
2023-06-11,ORD000072,Camera,Electronics,2,299,East,VIP,Debit Card,598,0.0,5
2023-06-12,ORD000272,Phone,Accessories,9,999,West,Returning,Debit Card,8991,15.0,999
2023-06-12,ORD000539,Tablet,Accessories,9,299,West,New,Debit Card,2691,,15
2023-06-14,ORD000559,Laptop,Wearables,4,1299,East,VIP,Debit Card,5196,0.0,999
2023-06-16,ORD000045,Phone,Wearables,1,299,South,Returning,PayPal,299,,10
2023-06-16,ORD000578,Camera,Accessories,6,999,North,VIP,Credit Card,5994,0.0,15
2023-06-17,ORD000462,Phone,Wearables,4,999,East,Returning,Debit Card,3996,5.0,5
2023-06-17,ORD000552,Tablet,Wearables,7,149,North,New,Credit Card,1043,0.0,15
2023-06-19,ORD000553,Phone,Wearables,9,149,South,Returning,Debit Card,1341,15.0,5
2023-06-20,ORD000136,Phone,Wearables,6,999,East,Returning,Credit Card,5994,10.0,10
2023-06-21,ORD000309,Laptop,Electronics,7,999,North,VIP,Credit Card,6993,,5
2023-06-22,ORD000584,Headphones,Electronics,5,299,East,Returning,Credit Card,1495,0.0,15
2023-06-22,ORD000606,Watch,Wearables,1,1299,East,Returning,Bank Transfer,1299,15.0,0
2023-06-23,ORD000550,Laptop,Wearables,8,299,East,Returning,Bank Transfer,2392,15.0,5
2023-06-25,ORD000346,Tablet,Electronics,2,1299,West,VIP,Debit Card,2598,5.0,0
2023-06-26,ORD000508,Watch,Electronics,3,299,North,Returning,Credit Card,897,5.0,15
2023-06-27,ORD000641,Phone,Accessories,5,299,North,VIP,Bank Transfer,1495,5.0,5
2023-06-29,ORD000441,Watch,Electronics,2,1299,East,VIP,PayPal,2598,0.0,15
2023-06-30,ORD000322,Watch,Wearables,6,149,East,Returning,Credit Card,894,10.0,5
2023-07-01,ORD000577,Camera,Electronics,7,699,East,Returning,Bank Transfer,4893,10.0,5
2023-07-03,ORD000204,Laptop,Electronics,8,999,West,New,Debit Card,7992,5.0,10
2023-07-05,ORD000534,Camera,Electronics,1,299,North,New,Credit Card,299,15.0,5
2023-07-06,ORD000216,Tablet,Accessories,1,1299,West,VIP,Bank Transfer,1299,5.0,5
2023-07-07,ORD000083,Phone,Accessories,7,149,North,Returning,Bank Transfer,1043,20.0,10
2023-07-08,ORD000413,Tablet,Wearables,5,149,West,VIP,Debit Card,745,0.0,15
2023-07-09,ORD000496,Tablet,Wearables,3,149,South,New,Bank Transfer,447,10.0,5
2023-07-09,ORD000036,Headphones,Wearables,8,299,North,VIP,PayPal,2392,10.0,10
2023-07-09,ORD000366,Phone,Wearables,2,999,East,New,PayPal,1998,0.0,15
2023-07-09,ORD000596,Phone,Wearables,3,149,East,Returning,Debit Card,447,0.0,999
2023-07-09,ORD000157,Laptop,Accessories,2,149,East,VIP,Debit Card,298,0.0,15
2023-07-10,ORD000598,Laptop,Accessories,7,149,West,VIP,Credit Card,1043,0.0,10
2023-07-10,ORD000326,Tablet,Accessories,1,699,East,New,PayPal,699,0.0,5
2023-07-11,ORD000305,Phone,Electronics,1,999,North,VIP,Credit Card,999,10.0,999
2023-07-11,ORD000024,Tablet,Accessories,5,699,East,VIP,Credit Card,3495,0.0,10
2023-07-11,ORD000490,Tablet,Wearables,6,999,West,VIP,PayPal,5994,5.0,10
2023-07-13,ORD000556,Camera,Accessories,9,899,North,New,Credit Card,8091,5.0,10
2023-07-14,ORD000280,Watch,Electronics,6,149,East,New,PayPal,894,10.0,10
2023-07-15,ORD000382,Watch,Wearables,3,699,North,VIP,PayPal,2097,10.0,5
2023-07-15,ORD000479,Laptop,Accessories,9,899,West,New,PayPal,8091,0.0,15
2023-07-17,ORD000210,Laptop,Accessories,9,999,North,New,Debit Card,8991,,0
2023-07-20,ORD000108,Watch,Accessories,3,299,West,VIP,PayPal,897,0.0,15
2023-07-20,ORD000646,Tablet,Electronics,6,149,North,VIP,Debit Card,894,0.0,15
2023-07-20,ORD000214,Watch,Electronics,8,299,South,Returning,Bank Transfer,2392,0.0,5
2023-07-21,ORD000073,Watch,Electronics,9,999,North,VIP,Credit Card,8991,20.0,5
2023-07-22,ORD000203,Laptop,Accessories,1,699,East,VIP,Credit Card,699,0.0,10
2023-07-22,ORD000610,Camera,Electronics,2,699,North,Returning,Debit Card,1398,0.0,5
2023-07-23,ORD000428,Phone,Wearables,6,999,West,New,Bank Transfer,5994,15.0,999
2023-07-25,ORD000061,Watch,Electronics,5,699,West,New,Bank Transfer,3495,20.0,0
2023-07-26,ORD000124,Tablet,Accessories,6,699,South,Returning,Debit Card,4194,10.0,10
2023-07-27,ORD000252,Tablet,Electronics,6,999,South,New,Debit Card,5994,0.0,10
2023-08-01,ORD000609,Camera,Wearables,3,149,South,VIP,Credit Card,447,20.0,5
2023-08-03,ORD000540,Phone,Wearables,7,699,South,New,Debit Card,4893,5.0,15
2023-08-03,ORD000010,Tablet,Electronics,6,699,North,New,PayPal,4194,5.0,5
2023-08-05,ORD000570,Headphones,Accessories,9,1299,North,Returning,PayPal,11691,15.0,15
2023-08-05,ORD000082,Camera,Wearables,2,999,West,Returning,PayPal,1998,15.0,5
2023-08-05,ORD000501,Headphones,Accessories,8,699,East,New,Bank Transfer,5592,10.0,15
2023-08-06,ORD000429,Camera,Electronics,7,899,East,New,Credit Card,6293,15.0,5
2023-08-06,ORD000120,Headphones,Accessories,5,1299,North,Returning,Bank Transfer,6495,0.0,5
2023-08-08,ORD000586,Phone,Electronics,2,299,North,New,Credit Card,598,20.0,15
2023-08-08,ORD000423,Tablet,Wearables,5,899,West,Returning,Bank Transfer,4495,10.0,10
2023-08-08,ORD000192,Watch,Electronics,7,899,North,New,Credit Card,6293,20.0,10
2023-08-08,ORD000310,Headphones,Electronics,3,299,West,Returning,Debit Card,897,15.0,10
2023-08-11,ORD000536,Phone,Accessories,4,899,South,Returning,Debit Card,3596,0.0,15
2023-08-11,ORD000442,Watch,Electronics,5,299,South,New,Bank Transfer,1495,15.0,10
2023-08-13,ORD000158,Camera,Wearables,6,999,South,New,Credit Card,5994,0.0,5
2023-08-13,ORD000194,Phone,Wearables,8,299,South,Returning,Credit Card,2392,0.0,10
2023-08-13,ORD000170,Laptop,Accessories,7,299,North,Returning,Debit Card,2093,5.0,0
2023-08-14,ORD000296,Tablet,Wearables,4,149,East,Returning,Debit Card,596,0.0,15
2023-08-15,ORD000265,Camera,Electronics,1,1299,North,VIP,Credit Card,1299,,15
2023-08-15,ORD000612,Phone,Accessories,5,699,West,New,Debit Card,3495,10.0,10
2023-08-17,ORD000611,Laptop,Electronics,9,1299,North,VIP,Bank Transfer,11691,5.0,5
2023-08-18,ORD000548,Tablet,Wearables,2,1299,West,Returning,Credit Card,2598,5.0,10
2023-08-18,ORD000290,Camera,Electronics,2,299,East,VIP,Bank Transfer,598,15.0,5
2023-08-19,ORD000156,Phone,Wearables,8,699,East,New,PayPal,5592,15.0,15
2023-08-19,ORD000134,Tablet,Wearables,1,699,South,VIP,Credit Card,699,10.0,15
2023-08-19,ORD000104,Tablet,Electronics,9,899,East,VIP,Debit Card,8091,0.0,10
2023-08-21,ORD000512,Laptop,Electronics,4,149,South,New,Credit Card,596,0.0,5
2023-08-21,ORD000176,Headphones,Accessories,5,899,North,VIP,Credit Card,4495,0.0,10
2023-08-21,ORD000249,Camera,Electronics,5,999,West,VIP,Bank Transfer,4995,15.0,5
2023-08-21,ORD000618,Camera,Accessories,4,149,South,New,PayPal,596,0.0,999
2023-08-22,ORD000171,Phone,Accessories,5,699,North,New,Bank Transfer,3495,0.0,5
2023-08-23,ORD000541,Phone,Accessories,2,299,East,Returning,PayPal,598,0.0,5
2023-08-25,ORD000411,Headphones,Wearables,9,899,East,VIP,Debit Card,8091,5.0,10
2023-08-29,ORD000129,Watch,Accessories,2,299,East,New,Credit Card,598,0.0,5
2023-08-30,ORD000051,Camera,,2,899,North,New,Debit Card,1798,0.0,10
2023-08-31,ORD000141,Headphones,Accessories,7,299,South,Returning,Debit Card,2093,15.0,15
2023-09-01,ORD000039,Tablet,Accessories,6,999,North,VIP,Debit Card,5994,0.0,5
2023-09-03,ORD000345,Headphones,Accessories,4,149,West,VIP,Credit Card,596,15.0,5
2023-09-04,ORD000201,Watch,Electronics,7,699,West,New,Debit Card,4893,5.0,5
2023-09-04,ORD000416,Watch,Wearables,7,999,North,Returning,PayPal,6993,5.0,5
2023-09-09,ORD000078,Laptop,Accessories,6,699,West,Returning,Credit Card,4194,0.0,10
2023-09-09,ORD000574,Watch,Wearables,8,149,East,VIP,Debit Card,1192,0.0,5
2023-09-10,ORD000327,Laptop,Wearables,5,899,South,VIP,Bank Transfer,4495,5.0,5
2023-09-10,ORD000030,Tablet,Accessories,3,1299,North,New,PayPal,3897,0.0,10
2023-09-10,ORD000547,Camera,Accessories,5,999,West,Returning,Bank Transfer,4995,0.0,10
2023-09-10,ORD000470,Headphones,Wearables,3,699,South,VIP,Credit Card,2097,0.0,0
2023-09-10,ORD000650,Phone,Accessories,1,999,East,VIP,Credit Card,999,0.0,0
2023-09-11,ORD000436,Laptop,Wearables,7,1299,East,New,Bank Transfer,9093,10.0,15
2023-09-11,ORD000243,Camera,Wearables,9,899,North,New,Bank Transfer,8091,10.0,15
2023-09-11,ORD000264,Laptop,Accessories,5,699,South,New,Debit Card,3495,0.0,5
2023-09-13,ORD000329,Watch,Wearables,4,1299,East,VIP,Credit Card,5196,0.0,0
2023-09-15,ORD000450,Laptop,Wearables,1,1299,South,VIP,Debit Card,1299,10.0,5
2023-09-16,ORD000164,Laptop,Accessories,4,299,North,VIP,Bank Transfer,1196,10.0,999
2023-09-16,ORD000626,Phone,Electronics,4,299,East,New,Debit Card,1196,0.0,5
2023-09-20,ORD000236,Camera,Electronics,7,899,North,VIP,Bank Transfer,6293,0.0,0
2023-09-21,ORD000376,Watch,Accessories,1,299,West,VIP,Debit Card,299,0.0,5
2023-09-22,ORD000514,Laptop,Accessories,8,149,South,Returning,Debit Card,1192,0.0,10
2023-09-25,ORD000181,Watch,Electronics,5,699,South,Returning,Credit Card,3495,0.0,10
2023-09-25,ORD000459,Camera,Electronics,3,149,South,VIP,Credit Card,447,15.0,5
2023-09-26,ORD000386,Laptop,Accessories,5,999,East,Returning,PayPal,4995,15.0,5
2023-09-27,ORD000074,Headphones,Electronics,7,149,South,New,Debit Card,1043,10.0,0
2023-09-28,ORD000075,Camera,Electronics,8,999,West,New,Credit Card,7992,,10
2023-09-28,ORD000003,Tablet,Accessories,7,899,North,New,Bank Transfer,6293,10.0,5
2023-09-29,ORD000412,Phone,Wearables,3,1299,South,Returning,Bank Transfer,3897,5.0,15
2023-09-30,ORD000502,Laptop,Accessories,8,299,North,VIP,Debit Card,2392,0.0,15
2023-10-01,ORD000046,Tablet,Wearables,1,299,West,New,PayPal,299,5.0,999
2023-10-04,ORD000487,Phone,Electronics,7,149,North,VIP,Debit Card,1043,10.0,5
2023-10-04,ORD000025,Laptop,Electronics,1,899,North,Returning,Credit Card,899,5.0,999
2023-10-04,ORD000276,Headphones,Accessories,2,899,East,Returning,PayPal,1798,0.0,10
2023-10-04,ORD000297,Tablet,Electronics,8,149,South,VIP,Bank Transfer,1192,0.0,5
2023-10-06,ORD000500,Camera,Accessories,5,299,East,VIP,PayPal,1495,0.0,5
2023-10-07,ORD000318,Laptop,Wearables,9,149,West,VIP,Debit Card,1341,20.0,5
2023-10-07,ORD000208,Watch,Accessories,5,899,East,New,Debit Card,4495,0.0,15
2023-10-10,ORD000161,Tablet,Wearables,5,299,West,New,Debit Card,1495,5.0,15
2023-10-10,ORD000294,Watch,Accessories,2,299,North,New,Credit Card,598,,10
2023-10-11,ORD000299,Camera,Wearables,4,149,East,VIP,PayPal,596,0.0,0
2023-10-12,ORD000422,Watch,Electronics,1,299,South,New,Debit Card,299,,0
2023-10-12,ORD000465,Camera,Electronics,4,299,South,New,Bank Transfer,1196,0.0,0
2023-10-15,ORD000337,Laptop,Accessories,5,149,East,New,Credit Card,745,0.0,5
2023-10-16,ORD000101,Watch,Accessories,8,899,East,VIP,Bank Transfer,7192,0.0,10
2023-10-16,ORD000435,Phone,Accessories,6,1299,West,VIP,Credit Card,7794,5.0,10
2023-10-21,ORD000207,Camera,Accessories,6,1299,West,Returning,Credit Card,7794,0.0,5
2023-10-23,ORD000079,Laptop,Electronics,4,999,East,New,PayPal,3996,0.0,10
2023-10-25,ORD000234,Tablet,Electronics,2,699,North,VIP,PayPal,1398,5.0,5
2023-10-28,ORD000571,Tablet,Accessories,2,299,North,VIP,Debit Card,598,15.0,10
2023-10-29,ORD000321,Watch,Accessories,6,1299,South,New,Debit Card,7794,0.0,5
