customer_id,age,gender,satisfaction_score,nps_score,product_quality,customer_service,delivery_speed,value_for_money,would_recommend,purchase_frequency,total_purchases
CUST00101,51,Female,5,,5,2,5,3,Yes,Rarely,8
CUST00102,18,Prefer not to say,2,,4,1,2,5,No,Quarterly,9
CUST00103,48,Male,5,,2,4,2,3,No,Rarely,2
CUST00104,47,Other,2,,1,3,3,2,Maybe,Quarterly,17
CUST00105,65,Male,2,,3,5,2,4,Yes,Rarely,45
CUST00106,35,Prefer not to say,2,,5,5,1,1,Yes,Quarterly,37
CUST00107,72,Other,2,,3,1,4,4,No,Weekly,42
CUST00108,34,Other,2,,1,2,3,2,Yes,Quarterly,44
CUST00109,55,Female,4,,5,1,2,1,Maybe,Weekly,17
CUST00110,31,Male,5,,3,5,1,3,Maybe,Weekly,38
CUST00111,40,Prefer not to say,4,,1,3,4,5,Yes,Daily,35
CUST00112,42,Prefer not to say,4,,3,5,3,5,Maybe,Weekly,47
CUST00113,32,Other,1,,2,4,1,4,No,Monthly,39
CUST00114,63,Female,1,,1,5,2,3,Maybe,Weekly,30
CUST00115,73,Other,1,,3,5,5,2,Yes,Quarterly,6
CUST00116,39,Other,3,,2,4,5,5,No,Weekly,4
CUST00117,20,Other,1,,2,2,3,3,Maybe,Quarterly,37
CUST00118,73,Other,5,,1,5,1,4,No,Quarterly,35
CUST00119,72,Prefer not to say,4,,4,1,4,1,Yes,Monthly,9
CUST00120,36,Prefer not to say,5,,5,5,1,4,Maybe,Weekly,6
CUST00121,74,Other,1,,1,1,5,4,Maybe,Weekly,13
CUST00122,61,Other,3,,2,4,3,3,No,Rarely,22
CUST00123,51,Female,3,,2,5,2,5,Maybe,Rarely,28
CUST00124,52,Other,4,,1,4,1,3,Maybe,Daily,30
CUST00125,67,Prefer not to say,5,,4,4,5,1,Maybe,Quarterly,36
CUST00126,18,Male,2,,5,2,4,3,Maybe,Monthly,2
CUST00127,69,Prefer not to say,5,,3,5,3,2,Yes,Rarely,36
CUST00128,38,Female,1,,1,1,2,4,Maybe,Weekly,8
CUST00129,46,Prefer not to say,2,,5,1,1,5,No,Daily,45
CUST00130,23,Male,3,,5,5,4,1,Yes,Monthly,42
CUST00131,54,Other,4,,2,2,2,4,No,Weekly,9
CUST00132,18,Male,4,,3,2,5,3,No,Weekly,1
CUST00133,68,Other,3,,1,2,5,2,No,Quarterly,13
CUST00134,18,Other,1,,2,1,4,3,Yes,Quarterly,15
CUST00135,44,Prefer not to say,3,,2,4,5,4,Yes,Rarely,32
CUST00136,38,Prefer not to say,1,,4,2,3,1,Yes,Rarely,34
CUST00137,70,Prefer not to say,2,,5,1,4,5,Maybe,Weekly,43
CUST00138,33,Female,3,,1,1,5,4,No,Weekly,31
CUST00139,61,Prefer not to say,1,,1,4,1,1,Yes,Rarely,14
CUST00140,71,Female,2,,1,5,5,4,No,Rarely,47
CUST00141,57,Prefer not to say,3,,2,5,3,2,Yes,Weekly,14
CUST00142,43,Other,4,,4,2,2,3,Yes,Monthly,48
CUST00143,33,Female,3,,3,2,2,5,Yes,Weekly,29
CUST00144,45,Male,5,,2,4,5,1,No,Monthly,47
CUST00145,18,Female,3,,3,2,2,5,Maybe,Monthly,19
CUST00146,53,Female,5,,4,4,5,5,Yes,Weekly,27
CUST00147,27,Male,2,,5,1,3,5,Yes,Daily,9
CUST00148,60,Female,3,,1,2,2,1,Yes,Rarely,37
CUST00149,34,Other,2,,3,1,1,1,Maybe,Quarterly,37
CUST00150,74,Prefer not to say,2,,2,3,5,5,No,Weekly,43
CUST00151,40,Male,1,,3,4,2,3,No,Monthly,28
CUST00152,24,Prefer not to say,2,4.0,5,3,3,4,No,Weekly,24
CUST00153,61,Other,2,9.0,1,2,3,5,No,Rarely,28
CUST00154,70,Male,3,4.0,3,1,1,2,Yes,Monthly,36
CUST00155,24,Prefer not to say,3,4.0,5,2,3,5,Maybe,Quarterly,18
CUST00156,61,Prefer not to say,4,9.0,2,3,3,1,Yes,Quarterly,25
CUST00157,32,Other,1,5.0,4,2,2,4,Maybe,Quarterly,35
CUST00158,51,Prefer not to say,2,7.0,2,5,5,2,No,Daily,4
CUST00159,63,Other,1,2.0,1,3,4,4,Maybe,Monthly,14
CUST00160,62,Female,5,8.0,2,2,3,4,Yes,Monthly,39
CUST00161,21,Other,2,0.0,2,1,3,2,Yes,Daily,26
CUST00162,31,Female,1,3.0,2,2,4,5,No,Monthly,8
CUST00163,31,Male,4,8.0,2,1,3,5,Yes,Daily,24
CUST00164,33,Prefer not to say,4,7.0,1,5,2,5,Yes,Weekly,16
CUST00165,24,Other,2,9.0,5,2,2,3,Maybe,Rarely,20
CUST00166,49,Other,5,8.0,3,5,4,5,Yes,Quarterly,15
CUST00167,36,Prefer not to say,4,0.0,4,3,3,2,No,Daily,7
CUST00168,19,Prefer not to say,4,8.0,3,1,3,3,No,Daily,17
CUST00169,27,Male,5,2.0,3,3,5,5,Yes,Daily,22
CUST00170,67,Male,1,10.0,4,1,3,3,No,Weekly,22
CUST00171,34,Other,4,9.0,1,5,2,2,Maybe,Daily,12
CUST00172,54,Male,3,8.0,4,4,1,5,Maybe,Rarely,18
CUST00173,29,Female,4,0.0,1,2,1,1,Yes,Rarely,46
CUST00174,23,Male,1,0.0,3,5,1,2,Yes,Quarterly,47
CUST00175,39,Male,1,8.0,1,1,1,4,Maybe,Weekly,15
CUST00176,49,Other,2,10.0,5,1,3,4,No,Rarely,37
CUST00177,58,Female,3,5.0,4,1,3,2,Yes,Monthly,16
CUST00178,37,Male,1,3.0,5,1,5,4,Yes,Monthly,5
CUST00179,18,Female,5,6.0,3,2,3,2,No,Monthly,2
CUST00180,71,Female,3,4.0,4,3,1,1,Yes,Daily,28
CUST00181,64,Female,3,9.0,3,4,4,2,No,Daily,41
CUST00182,70,Prefer not to say,5,6.0,5,2,4,5,No,Monthly,27
CUST00183,23,Prefer not to say,4,7.0,3,1,2,5,No,Quarterly,31
CUST00184,36,Prefer not to say,5,7.0,4,2,2,3,No,Quarterly,41
CUST00185,35,Prefer not to say,5,0.0,4,5,3,4,No,Daily,36
CUST00186,23,Other,4,7.0,3,1,4,4,Maybe,Monthly,47
CUST00187,62,Male,4,5.0,4,4,1,2,No,Quarterly,43
CUST00188,50,Prefer not to say,4,3.0,4,1,1,4,Maybe,Daily,1
CUST00189,40,Other,4,7.0,3,4,1,5,No,Monthly,29
CUST00190,40,Male,4,2.0,5,4,3,1,Yes,Weekly,1
CUST00191,43,Prefer not to say,5,3.0,4,3,3,2,Maybe,Monthly,8
CUST00192,30,Male,2,5.0,4,3,5,4,Yes,Monthly,16
CUST00193,24,Prefer not to say,2,10.0,4,2,1,5,No,Rarely,28
CUST00194,32,Other,1,6.0,4,2,1,3,No,Rarely,22
CUST00195,61,Female,2,3.0,3,4,3,4,Yes,Weekly,18
CUST00196,44,Female,2,3.0,5,1,3,1,No,Weekly,22
CUST00197,43,Male,5,6.0,5,5,5,1,Yes,Monthly,41
CUST00198,50,Other,4,5.0,1,5,5,4,No,Quarterly,12
CUST00199,32,Female,4,10.0,4,1,2,4,No,Weekly,19
CUST00200,53,Prefer not to say,5,7.0,4,1,4,5,Maybe,Monthly,25
CUST00201,62,Female,2,0.0,1,3,1,4,yes,Daily,5
CUST00202,72,Male,5,9.0,5,5,1,3,no,Rarely,34
CUST00203,44,Male,1,10.0,2,4,5,5,yes,Quarterly,39
CUST00204,74,Other,4,6.0,2,2,5,2,maybe,Monthly,10
CUST00205,22,Male,3,6.0,5,3,2,3,yes,Daily,47
CUST00206,19,Female,1,10.0,4,5,4,5,maybe,Rarely,7
CUST00207,72,Female,1,6.0,2,1,2,5,yes,Daily,37
CUST00208,50,Female,5,6.0,3,5,4,1,yes,Monthly,47
CUST00209,33,Female,2,9.0,3,4,1,5,maybe,Weekly,15
CUST00210,40,Other,4,9.0,1,3,2,3,no,Rarely,42
CUST00211,55,Prefer not to say,3,7.0,5,1,5,4,no,Daily,24
CUST00212,72,Prefer not to say,1,8.0,5,4,2,3,No,Weekly,26
CUST00213,33,Other,3,8.0,2,2,2,2,Yes,Quarterly,26
CUST00214,31,Male,2,1.0,4,3,1,5,Yes,Monthly,46
CUST00215,46,Prefer not to say,2,6.0,5,4,5,5,No,Monthly,26
CUST00216,43,Male,3,6.0,2,4,5,5,Yes,Rarely,10
CUST00217,52,Prefer not to say,4,3.0,2,1,3,5,Yes,Daily,17
CUST00218,32,Male,2,8.0,5,2,3,1,No,Quarterly,14
CUST00219,20,Other,3,7.0,2,4,3,1,Maybe,Rarely,2
CUST00220,40,Female,1,0.0,1,3,1,4,Yes,Rarely,48
CUST00221,46,Male,3,1.0,1,4,2,5,Yes,Daily,13
CUST00222,51,Female,3,1.0,5,5,5,2,Yes,Quarterly,27
CUST00223,50,Male,5,10.0,4,3,5,4,Yes,Daily,9
CUST00224,58,Male,2,7.0,1,3,2,5,Maybe,Monthly,7
CUST00225,58,Male,4,0.0,1,4,5,1,No,Weekly,48
CUST00226,40,Male,4,3.0,5,1,2,2,Yes,Monthly,10
CUST00227,24,Male,5,9.0,3,3,1,4,No,Monthly,9
CUST00228,20,Female,4,4.0,2,5,1,2,Yes,Rarely,22
CUST00229,49,Male,3,8.0,1,1,1,5,Maybe,Monthly,23
CUST00230,48,Female,5,6.0,3,1,2,3,No,Quarterly,7
CUST00231,35,Other,1,7.0,4,1,2,2,Maybe,Monthly,48
CUST00232,60,Prefer not to say,2,10.0,3,3,4,2,Yes,Quarterly,9
CUST00233,24,Male,2,8.0,5,1,5,1,Maybe,Daily,27
CUST00234,58,Prefer not to say,2,6.0,4,4,5,5,Maybe,Rarely,24
CUST00235,18,Female,3,4.0,4,1,4,2,Yes,Quarterly,29
CUST00236,31,Other,1,4.0,3,5,4,5,Yes,Monthly,17
CUST00237,69,Other,5,9.0,5,2,1,1,No,Rarely,20
CUST00238,49,Other,5,10.0,1,5,4,5,Yes,Rarely,7
CUST00239,23,Prefer not to say,2,5.0,3,3,2,1,No,Quarterly,43
CUST00240,56,Female,1,4.0,1,1,3,1,Maybe,Quarterly,40
CUST00241,27,Male,1,10.0,3,1,2,4,Maybe,Weekly,7
CUST00242,24,Male,1,8.0,1,4,4,5,No,Weekly,28
CUST00243,43,Female,4,2.0,3,1,5,3,Yes,Rarely,19
CUST00244,51,Prefer not to say,4,2.0,4,5,2,4,Yes,Weekly,20
CUST00245,47,Male,2,6.0,2,3,5,1,Maybe,Monthly,44
CUST00246,53,Female,1,6.0,4,2,2,3,No,Daily,39
CUST00247,38,Male,1,5.0,1,1,5,2,Maybe,Rarely,40
CUST00248,34,Other,5,2.0,5,2,2,2,Maybe,Daily,7
CUST00249,50,Male,5,6.0,4,1,5,4,Yes,Weekly,6
CUST00250,27,Prefer not to say,2,4.0,2,3,3,3,No,Quarterly,25
CUST00251,68,Female,1,6.0,1,5,1,5,Maybe,Rarely,41
CUST00252,64,Prefer not to say,2,1.0,4,3,2,3,Yes,Weekly,13
CUST00253,59,Female,5,5.0,3,2,3,4,Maybe,Monthly,39
CUST00254,68,Other,5,7.0,5,1,1,5,Maybe,Rarely,40
CUST00255,29,Female,4,0.0,1,2,2,5,Yes,Rarely,22
CUST00256,73,Male,2,3.0,4,5,3,2,Yes,Quarterly,49
CUST00257,33,Male,2,10.0,1,3,3,3,No,Rarely,17
CUST00258,58,Other,1,0.0,3,2,3,5,Maybe,Quarterly,48
CUST00259,49,Female,1,0.0,2,2,4,4,No,Weekly,22
CUST00260,32,Other,4,9.0,4,5,5,2,Yes,Monthly,34
CUST00261,44,Male,3,10.0,1,1,1,5,Yes,Monthly,8
CUST00262,45,Prefer not to say,3,7.0,1,2,5,3,Maybe,Rarely,49
CUST00263,34,Other,3,6.0,1,5,5,2,No,Rarely,45
CUST00264,63,Prefer not to say,2,9.0,2,1,5,3,No,Weekly,18
CUST00265,67,Prefer not to say,2,0.0,1,1,3,3,Maybe,Quarterly,24
CUST00266,19,Female,5,10.0,5,3,5,3,Maybe,Monthly,42
CUST00267,53,Other,2,1.0,5,5,4,2,No,Quarterly,2
CUST00268,67,Prefer not to say,2,3.0,1,1,2,5,Yes,Weekly,2
CUST00269,24,Prefer not to say,2,0.0,5,3,3,1,Yes,Monthly,27
CUST00270,30,Female,4,2.0,4,4,1,5,Maybe,Monthly,14
CUST00271,32,Female,2,7.0,5,5,2,2,No,Daily,48
CUST00272,42,Male,1,7.0,1,4,2,1,No,Weekly,39
CUST00273,40,Prefer not to say,1,7.0,3,1,2,1,No,Weekly,12
CUST00274,39,Male,5,5.0,4,5,5,1,Yes,Daily,32
CUST00275,43,Prefer not to say,4,5.0,2,3,5,4,Yes,Quarterly,28
CUST00276,50,Male,1,4.0,1,1,3,2,No,Daily,28
CUST00277,28,Female,4,8.0,2,5,5,4,No,Weekly,46
CUST00278,27,Other,4,3.0,3,5,5,1,Maybe,Quarterly,25
CUST00279,42,Female,5,9.0,2,4,5,4,Maybe,Monthly,4
CUST00280,54,Male,4,6.0,1,1,3,4,No,Daily,26
CUST00281,65,Male,2,0.0,1,3,3,2,No,Quarterly,36
CUST00282,60,Other,4,8.0,3,3,4,3,Yes,Quarterly,3
CUST00283,70,Prefer not to say,5,6.0,1,1,4,4,No,Quarterly,1
CUST00284,55,Male,5,9.0,3,1,4,4,Maybe,Daily,17
CUST00285,58,Male,5,8.0,3,2,4,1,Yes,Monthly,7
CUST00286,62,Male,1,6.0,1,4,2,1,Maybe,Quarterly,48
CUST00287,41,Other,2,1.0,5,1,2,1,Maybe,Daily,5
CUST00288,57,Female,1,5.0,3,1,4,5,Yes,Weekly,19
CUST00289,63,Male,3,9.0,1,2,4,4,Maybe,Daily,39
CUST00290,73,Other,2,10.0,5,2,1,1,No,Daily,46
CUST00291,50,Male,4,3.0,3,5,2,2,Maybe,Daily,34
CUST00292,34,Prefer not to say,5,2.0,5,3,1,5,Yes,Quarterly,35
CUST00293,41,Other,3,1.0,4,4,1,3,Yes,Daily,49
CUST00294,54,Male,2,5.0,4,5,5,4,Yes,Weekly,16
CUST00295,74,Other,1,7.0,5,1,3,4,Maybe,Quarterly,40
CUST00296,19,Male,5,5.0,3,2,2,2,No,Weekly,47
CUST00297,49,Female,1,8.0,1,3,4,3,Yes,Rarely,39
CUST00298,74,Male,2,4.0,2,5,4,3,No,Daily,27
CUST00299,41,Other,2,1.0,1,3,3,5,Yes,Quarterly,41
CUST00300,26,Prefer not to say,3,7.0,2,2,2,4,No,Quarterly,38
CUST00301,21,Prefer not to say,4,8.0,2,5,4,1,No,Daily,1888
CUST00302,34,Prefer not to say,1,9.0,3,5,4,2,No,Monthly,3923
CUST00303,34,Male,3,3.0,5,3,5,2,Yes,Monthly,3724
CUST00304,70,Female,5,5.0,1,2,1,2,Maybe,Weekly,1320
CUST00305,67,Male,4,10.0,5,1,4,2,Maybe,Daily,4957
CUST00306,65,Prefer not to say,3,9.0,4,5,2,1,Maybe,Daily,3382
CUST00307,47,Other,1,7.0,3,1,3,1,No,Rarely,36
CUST00308,57,Prefer not to say,2,8.0,3,2,5,5,Yes,Monthly,4
CUST00309,28,Other,5,4.0,4,5,2,4,No,Monthly,47
CUST00310,38,Female,1,5.0,1,5,5,1,Yes,Daily,15
CUST00311,38,Other,4,10.0,4,1,1,5,No,Weekly,32
CUST00312,35,Male,4,3.0,1,4,4,3,Yes,Daily,18
CUST00313,72,Male,2,4.0,2,1,2,4,Yes,Weekly,14
CUST00314,46,Male,2,6.0,3,1,3,1,Yes,Monthly,1
CUST00315,41,Other,5,8.0,1,4,1,3,No,Rarely,42
CUST00316,27,Male,5,9.0,5,2,1,5,Maybe,Quarterly,20
CUST00317,62,Male,2,10.0,5,2,5,1,No,Monthly,10
CUST00318,34,Male,2,5.0,3,5,1,1,No,Weekly,10
CUST00319,35,Female,4,5.0,4,3,2,3,Yes,Daily,24
CUST00320,59,Other,2,7.0,4,3,5,1,Yes,Monthly,34
CUST00321,65,Other,3,10.0,1,5,1,2,Maybe,Rarely,28
CUST00322,37,Prefer not to say,1,3.0,4,3,3,1,Maybe,Weekly,27
CUST00323,54,Other,2,2.0,3,1,2,4,Yes,Daily,40
CUST00324,62,Female,5,6.0,1,1,3,3,Maybe,Quarterly,1
CUST00325,35,Other,3,4.0,2,4,3,4,Maybe,Weekly,33
CUST00326,34,Female,5,1.0,4,4,5,5,Yes,Daily,4
CUST00327,26,Female,3,1.0,4,5,4,4,No,Quarterly,7
CUST00328,31,Other,2,10.0,1,5,5,2,Maybe,Daily,9
CUST00329,66,Prefer not to say,1,5.0,5,5,2,2,Yes,Quarterly,16
CUST00330,46,Male,5,7.0,4,1,2,4,Maybe,Quarterly,5
CUST00331,48,Male,3,0.0,3,3,5,5,Maybe,Quarterly,34
CUST00332,21,Other,4,10.0,4,5,4,1,Yes,Daily,23
CUST00333,35,Other,2,5.0,2,5,5,2,Maybe,Quarterly,43
CUST00334,37,Female,1,1.0,4,1,2,4,Maybe,Weekly,25
CUST00335,73,Other,2,1.0,5,1,4,4,Maybe,Rarely,13
CUST00336,73,Female,4,6.0,4,1,2,4,No,Rarely,24
CUST00337,64,Prefer not to say,1,9.0,1,3,4,1,No,Quarterly,11
CUST00338,60,Other,4,0.0,4,5,4,3,Maybe,Rarely,17
CUST00339,61,Male,2,5.0,5,2,5,5,Yes,Rarely,37
CUST00340,26,Male,3,6.0,1,2,5,3,Maybe,Quarterly,13
CUST00341,30,Other,2,7.0,3,5,5,5,Maybe,Quarterly,27
CUST00342,32,Female,2,6.0,1,5,4,5,No,Weekly,20
CUST00343,44,Male,2,5.0,2,5,4,4,No,Monthly,33
CUST00344,32,Female,5,8.0,1,5,2,2,No,Daily,42
CUST00345,45,Other,4,2.0,3,3,3,4,Maybe,Quarterly,32
CUST00346,54,Other,4,10.0,4,2,5,1,Maybe,Quarterly,8
CUST00347,72,Male,4,5.0,1,4,2,5,Yes,Rarely,29
CUST00348,36,Other,5,3.0,1,2,2,2,Maybe,Weekly,40
CUST00349,43,Prefer not to say,3,1.0,1,2,1,5,Maybe,Rarely,19
CUST00350,69,Prefer not to say,2,0.0,1,1,5,5,No,Quarterly,6
CUST00351,43,Male,3,0.0,3,5,2,4,No,Quarterly,44
CUST00352,42,Prefer not to say,5,10.0,5,5,1,2,No,Rarely,39
CUST00353,43,Female,4,9.0,5,5,5,2,No,Quarterly,48
CUST00354,43,Male,2,2.0,1,1,4,5,No,Monthly,41
CUST00355,63,Male,1,3.0,3,3,1,2,Yes,Daily,21
CUST00356,45,Female,1,1.0,3,3,4,2,Yes,Daily,22
CUST00357,66,Prefer not to say,3,10.0,1,4,3,4,Yes,Daily,42
CUST00358,35,Prefer not to say,4,10.0,2,3,3,3,No,Monthly,10
CUST00359,49,Prefer not to say,1,10.0,1,3,3,1,No,Quarterly,10
CUST00360,70,Male,3,0.0,2,5,3,3,No,Rarely,29
CUST00361,20,Male,5,3.0,1,2,2,2,Yes,Weekly,16
CUST00362,19,Prefer not to say,3,6.0,2,3,3,5,No,Quarterly,1
CUST00363,50,Other,3,9.0,2,3,2,1,Yes,Monthly,17
CUST00364,59,Prefer not to say,3,10.0,1,1,2,1,No,Monthly,30
CUST00365,36,Female,2,5.0,2,4,5,5,Maybe,Daily,26
CUST00366,34,Male,3,5.0,4,1,2,1,Yes,Quarterly,46
CUST00367,61,Female,3,10.0,5,5,2,5,Maybe,Daily,19
CUST00368,50,Female,2,8.0,3,2,3,1,Yes,Weekly,21
CUST00369,29,Male,2,1.0,2,4,2,3,No,Daily,17
CUST00370,66,Other,5,3.0,2,1,4,1,No,Weekly,46
CUST00371,73,Prefer not to say,4,4.0,3,3,3,4,Maybe,Monthly,40
CUST00372,20,Female,1,0.0,2,3,1,5,No,Daily,21
CUST00373,60,Male,1,7.0,3,4,3,1,Yes,Daily,41
CUST00374,66,Female,3,7.0,1,3,2,5,No,Rarely,40
CUST00375,72,Prefer not to say,5,5.0,4,1,4,4,No,Monthly,45
CUST00376,43,Other,3,4.0,4,1,3,1,Yes,Rarely,49
CUST00377,52,Other,1,7.0,5,3,4,1,Maybe,Weekly,19
CUST00378,25,Other,2,2.0,2,3,1,4,Maybe,Weekly,7
CUST00379,69,Male,4,2.0,5,5,1,4,No,Monthly,17
CUST00380,53,Male,5,1.0,1,2,5,4,Yes,Weekly,1
